,Country,Total_Spent,Imm_SV,Life Exp SV,Infant SV
0,Australia,5627.315,0.8471948818897638,0.9613095238095238,0.0
1,Austria,5882.745,0.8572834645669292,0.9196428571428571,0.0
2,Belgium,5406.979,0.9425853018372704,0.9136904761904764,0.008849557522123894
3,Canada,5828.324,0.8024114173228346,0.9375000000000001,0.017699115044247787
5,Denmark,5693.651,0.859251968503937,0.9107142857142857,0.035398230088495575
6,Finland,4604.622,0.7808398950131233,0.9196428571428571,0.04424778761061947
7,France,5468.418,0.5807086614173229,0.9464285714285715,0.05309734513274336
8,Germany,6938.983,0.7906003937007874,0.9226190476190478,0.061946902654867256
9,Greece,2486.091,0.8905019685039369,0.9047619047619047,0.061946902654867256
10,Hungary,2401.999,0.7463910761154855,0.7648809523809526,0.08849557522123894
11,Iceland,4620.158,0.781496062992126,0.9404761904761905,0.08849557522123894
12,Ireland,5372.814,0.8538385826771653,0.9255952380952381,0.09734513274336283
13,Italy,3747.172,0.812746062992126,0.9613095238095238,0.09734513274336283
14,Japan,4665.641,0.859744094488189,1.0,0.10619469026548672
16,Luxembourg,5628.497,0.8284940944881889,0.9434523809523812,0.12389380530973451
17,Mexico,1226.736,0.7864173228346456,0.7529761904761905,0.1504424778761062
18,Netherlands,6180.011,0.8491633858267716,0.9255952380952381,0.19469026548672566
19,New Zealand,4469.383,0.8486712598425197,0.9315476190476191,0.20353982300884957
20,Norway,6581.629,0.8459645669291339,0.9494047619047619,0.21238938053097345
21,Poland,2286.111,0.8464566929133858,0.8214285714285714,0.26548672566371684
22,Portugal,3348.203,0.9655511811023622,0.9196428571428571,0.2743362831858407
24,Spain,3718.054,0.8639271653543307,0.9672619047619049,0.46017699115044247
25,Sweden,5757.291,0.8558070866141732,0.9434523809523812,0.5132743362831859
26,Switzerland,7178.56,0.8628608923884514,0.9732142857142859,0.5132743362831859
28,United Kingdom,5018.7,0.8511318897637794,0.9136904761904764,0.7345132743362832
30,Chile,2412.752,0.8794291338582678,0.892857142857143,0.017699115044247787
31,Estonia,2729.229,0.6904527559055118,0.8392857142857145,0.04424778761061947
32,Israel,3057.408,0.8799212598425197,0.9494047619047619,0.09734513274336283
33,Slovenia,3474.147,0.6998031496062992,0.9107142857142857,0.415929203539823
34,Colombia,1335.877,0.8648293963254593,0.8511904761904762,0.017699115044247787
35,Latvia,2227.896,0.7487696850393701,0.7351190476190478,0.11504424778761062
36,Lithuania,2881.844,0.7273622047244095,0.7529761904761905,0.12389380530973451
37,Costa Rica,1617.823,0.8784448818897638,0.8958333333333334,0.02654867256637168
