,Unnamed: 0,Country,Total_Spent,Imm_SV,Life Exp SV,Infant SV,Doctor Density SV,Percent SV
0,0,Australia,5627.315,0.8471948818897638,0.9613095238095238,0.0,0.4892857142857142,0.39149170554691554
1,1,Austria,5882.745,0.8572834645669292,0.9196428571428572,0.0,0.6273809523809524,0.6193623639191291
2,2,Belgium,5406.979,0.9425853018372704,0.9136904761904764,0.0088495575221238,0.7214285714285713,0.6770465149158773
3,3,Canada,5828.324,0.8024114173228346,0.9375,0.0176991150442477,0.288095238095238,0.44962230615418797
4,4,Denmark,5693.651,0.859251968503937,0.9107142857142856,0.0353982300884955,0.5,0.543286677034733
5,5,Finland,4604.622,0.7808398950131233,0.9196428571428572,0.0442477876106194,0.5499999999999999,0.07395887333678935
6,6,France,5468.418,0.5807086614173229,0.9464285714285716,0.0530973451327433,0.3869047619047619,0.6181959564541213
7,7,Germany,6938.983,0.7906003937007874,0.9226190476190478,0.0619469026548672,0.5249999999999999,0.46041283755125123
8,8,Greece,2486.091,0.8905019685039369,0.9047619047619048,0.0619469026548672,0.7488095238095238,0.5631026438569208
9,9,Hungary,2401.999,0.7463910761154855,0.7648809523809526,0.0884955752212389,0.719047619047619,0.6140487299118714
10,10,Iceland,4620.158,0.781496062992126,0.9404761904761904,0.0884955752212389,0.4904761904761904,0.6763042556199633
11,11,Ireland,5372.814,0.8538385826771653,0.925595238095238,0.0973451327433628,0.413095238095238,
12,12,Italy,3747.172,0.812746062992126,0.9613095238095238,0.0973451327433628,0.4678571428571428,0.265746500777605
13,13,Japan,4665.641,0.859744094488189,1.0,0.1061946902654867,0.2928571428571428,0.8149300155520997
14,14,Luxembourg,5628.497,0.8284940944881889,0.9434523809523812,0.1238938053097345,0.3559523809523809,0.7320443941750319
15,15,Mexico,1226.736,0.7864173228346456,0.7529761904761905,0.1504424778761062,0.2869047619047619,
16,16,Netherlands,6180.011,0.8491633858267716,0.925595238095238,0.1946902654867256,0.4833333333333333,0.2684897183341974
17,17,New Zealand,4469.383,0.8486712598425197,0.9315476190476192,0.2035398230088495,0.4285714285714285,
18,18,Norway,6581.629,0.8459645669291339,0.949404761904762,0.2123893805309734,0.5988095238095238,0.2202566096423017
19,19,Poland,2286.111,0.8464566929133858,0.8214285714285714,0.2654867256637168,0.4464285714285714,0.2340035547656077
20,20,Portugal,3348.203,0.9655511811023622,0.9196428571428572,0.2743362831858407,0.6499999999999999,
21,21,Spain,3718.054,0.8639271653543307,0.9672619047619048,0.4601769911504424,0.5261904761904761,0.32295348508412275
22,22,Sweden,5757.291,0.8558070866141732,0.9434523809523812,0.5132743362831859,0.8416666666666667,
23,23,Switzerland,7178.56,0.8628608923884514,0.973214285714286,0.5132743362831859,0.519047619047619,
24,24,United Kingdom,5018.7,0.8511318897637794,0.9136904761904764,0.7345132743362832,0.3547619047619048,
25,25,United States,11859.179,0.8339074803149606,0.8273809523809524,0.7787610619469026,0.3083333333333333,0.9125518403317784
26,26,Chile,2412.752,0.8794291338582678,0.892857142857143,0.0176991150442477,0.3357142857142857,0.26095127008812863
27,27,Estonia,2729.229,0.6904527559055118,0.8392857142857145,0.0442477876106194,0.4107142857142857,0.43636599274235355
28,28,Israel,3057.408,0.8799212598425197,0.949404761904762,0.0973451327433628,0.4297619047619047,0.4629577265658138
29,29,Slovenia,3474.147,0.6998031496062992,0.9107142857142856,0.415929203539823,0.388095238095238,0.167538526792026
30,30,Colombia,1335.877,0.8648293963254593,0.8511904761904762,0.0176991150442477,0.275,
31,31,Latvia,2227.896,0.7487696850393701,0.7351190476190478,0.1150442477876106,0.4023809523809523,0.5654955464442246
32,32,Lithuania,2881.844,0.7273622047244095,0.7529761904761905,0.1238938053097345,0.6023809523809524,0.2903294217446628
33,33,Costa Rica,1617.823,0.8784448818897638,0.8958333333333334,0.0265486725663716,0.3904761904761904,0.02431782836137424
